text,hard_label
"Black people ""trump and republicans are racist, VOTE BIDEN LIKE YOUR LIFE DEPENDS ON IT""                               BIDEN:",0
"<user> <user> <user> He has 4000 lawyers. If AZ doesn't call the race soon, something bad is happening.",0
<user> You're winning this election Sir,0
<user> <user> NO JUSTICE NO PEACE #BlackLivesMatter  #VidasNegrasImportam,0
"<user> Disgusting behavior is a cop murdering an innocent black men with his knee in his neck for 9 minutes, thatâ€™s whatâ€™s disgusting. George Floyd was a minister.   <url> <url>",0
<user> <user> Better idea; donate your time and/or money to #BlackLivesMatter Sign an online petition even. That would piss him off a million times more plus itâ€™s actually productive.,0
High off my coronavirus ft Mariah Carey okkkğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,0
"Because NO ONE in the media challenges him on his daily lies. Your colleague, Chris Wallace, was a complete disgrace. Biden refuses to appear on any of Fox prime time shows where he would be held to his lies. Everyone else kisses his as*. <url>",0
"<user> Go to an event at 1600 COVID Ave? Hell, I don't want to go to an event anywhere right now.",0
This was a complete train wreck.  <user> was all over the place and Chris Wallace sucked as a moderator.  Chris Wallace was clearly in the tank for Biden.  It was one of the worse debates Iâ€™ve ever seen.  #Trump2020,0
What the actual f*** <url>,1
<user> #sleepingjoe cry no more ğŸ˜‚ğŸ˜‚ğŸ˜‚ you so awfulğŸ˜‚,1
The hits just keep coming...what a turd.,1
The left are evil people,1
"<user> <user> I'm disgusted the only campaign that trump has is to claim voter fraud, and toss created dirt about <user> and <user> !! PS: My Harris &amp; Biden action figures are stomping on my voodoo doll of trump!",1
"<user> <user> Canâ€™t go there, itâ€™s already filled up with the corrupt Democrats! ğŸ¤·â€â™€ï¸",1
"Unless <user> is also going to get rid of the flu this moron is gonna have to shut school down forever. (Imbecile is hurting the poorest least advantaged children the most, but that is his goal) <url>",1
#RonDeSantis is an idiot like the #FakePresident telling counties to hold back covid numbers in Florida WTF,1
"<user> <user> Thatâ€™s good. But so many of Trumpâ€™s lackeys and enablers and sycophants sailed right back into Congress, paying no price for their subservience to a wannabe dictator. They wonâ€™t be the least bit humbled, and they will continue doing harm.",1
<user> Nah Joe....you got your ass whooped last night. In one night...Trump proved Obama corrupt and your family to be hot trash.,1
